"GHO (CODE)","GHO (DISPLAY)","GHO (URL)","PUBLISHSTATE (CODE)","PUBLISHSTATE (DISPLAY)","PUBLISHSTATE (URL)","YEAR (CODE)","YEAR (DISPLAY)","YEAR (URL)","REGION (CODE)","REGION (DISPLAY)","REGION (URL)","WORLDBANKINCOMEGROUP (CODE)","WORLDBANKINCOMEGROUP (DISPLAY)","WORLDBANKINCOMEGROUP (URL)","COUNTRY (CODE)","COUNTRY (DISPLAY)","COUNTRY (URL)","Display Value","Numeric","Low","High","StdErr","StdDev","Comments"
"GHED_CHEGDP_SHA2011","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4950","PUBLISHED","Published","","2006","2006","","AFR","Africa","","WB_LMI","Lower-middle-income","","AGO","Angola","","2.7","2.68554","","","","",""
"GHED_CHEGDP_SHA2011","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4950","PUBLISHED","Published","","2007","2007","","AFR","Africa","","WB_LMI","Lower-middle-income","","AGO","Angola","","3.0","2.97439","","","","",""
"GHED_CHEGDP_SHA2011","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4950","PUBLISHED","Published","","2008","2008","","AFR","Africa","","WB_LMI","Lower-middle-income","","AGO","Angola","","3.3","3.32290","","","","",""
"GHED_CHEGDP_SHA2011","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4950","PUBLISHED","Published","","2009","2009","","AFR","Africa","","WB_LMI","Lower-middle-income","","AGO","Angola","","3.8","3.84261","","","","",""
"GHED_CHEGDP_SHA2011","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4950","PUBLISHED","Published","","2010","2010","","AFR","Africa","","WB_LMI","Lower-middle-income","","AGO","Angola","","2.7","2.69510","","","","",""
"GHED_CHEGDP_SHA2011","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4950","PUBLISHED","Published","","2011","2011","","AFR","Africa","","WB_LMI","Lower-middle-income","","AGO","Angola","","2.6","2.64561","","","","",""
"GHED_CHEGDP_SHA2011","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4950","PUBLISHED","Published","","2012","2012","","AFR","Africa","","WB_LMI","Lower-middle-income","","AGO","Angola","","2.4","2.39575","","","","",""
"GHED_CHEGDP_SHA2011","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4950","PUBLISHED","Published","","2013","2013","","AFR","Africa","","WB_LMI","Lower-middle-income","","AGO","Angola","","2.7","2.73283","","","","",""
"GHED_CHEGDP_SHA2011","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4950","PUBLISHED","Published","","2014","2014","","AFR","Africa","","WB_LMI","Lower-middle-income","","AGO","Angola","","2.4","2.43413","","","","",""
"GHED_CHEGDP_SHA2011","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4950","PUBLISHED","Published","","2015","2015","","AFR","Africa","","WB_LMI","Lower-middle-income","","AGO","Angola","","2.6","2.60579","","","","",""
"GHED_CHEGDP_SHA2011","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4950","PUBLISHED","Published","","2016","2016","","AFR","Africa","","WB_LMI","Lower-middle-income","","AGO","Angola","","2.7","2.71315","","","","",""
"GHED_CHEGDP_SHA2011","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4950","PUBLISHED","Published","","2017","2017","","AFR","Africa","","WB_LMI","Lower-middle-income","","AGO","Angola","","2.8","2.79150","","","","",""
"GHED_CHEGDP_SHA2011","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4950","PUBLISHED","Published","","2000","2000","","AMR","Americas","","WB_HI","High-income","","ATG","Antigua and Barbuda","","4.5","4.48070","","","","",""
"GHED_CHEGDP_SHA2011","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4950","PUBLISHED","Published","","2001","2001","","AMR","Americas","","WB_HI","High-income","","ATG","Antigua and Barbuda","","5.3","5.28030","","","","",""
"GHED_CHEGDP_SHA2011","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4950","PUBLISHED","Published","","2002","2002","","AMR","Americas","","WB_HI","High-income","","ATG","Antigua and Barbuda","","5.4","5.42647","","","","",""
"GHED_CHEGDP_SHA2011","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4950","PUBLISHED","Published","","2003","2003","","AMR","Americas","","WB_HI","High-income","","ATG","Antigua and Barbuda","","5.8","5.81217","","","","",""
"GHED_CHEGDP_SHA2011","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4950","PUBLISHED","Published","","2004","2004","","AMR","Americas","","WB_HI","High-income","","ATG","Antigua and Barbuda","","5.3","5.25793","","","","",""
"GHED_CHEGDP_SHA2011","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4950","PUBLISHED","Published","","2005","2005","","AMR","Americas","","WB_HI","High-income","","ATG","Antigua and Barbuda","","5.0","4.97075","","","","",""
"GHED_CHEGDP_SHA2011","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4950","PUBLISHED","Published","","2006","2006","","AMR","Americas","","WB_HI","High-income","","ATG","Antigua and Barbuda","","4.7","4.66922","","","","",""
"GHED_CHEGDP_SHA2011","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4950","PUBLISHED","Published","","2007","2007","","AMR","Americas","","WB_HI","High-income","","ATG","Antigua and Barbuda","","4.7","4.70825","","","","",""
"GHED_CHEGDP_SHA2011","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4950","PUBLISHED","Published","","2008","2008","","AMR","Americas","","WB_HI","High-income","","ATG","Antigua and Barbuda","","4.4","4.39310","","","","",""
"GHED_CHEGDP_SHA2011","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4950","PUBLISHED","Published","","2009","2009","","AMR","Americas","","WB_HI","High-income","","ATG","Antigua and Barbuda","","4.4","4.39794","","","","",""
"GHED_CHEGDP_SHA2011","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4950","PUBLISHED","Published","","2010","2010","","AMR","Americas","","WB_HI","High-income","","ATG","Antigua and Barbuda","","5.2","5.18710","","","","",""
"GHED_CHEGDP_SHA2011","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4950","PUBLISHED","Published","","2011","2011","","AMR","Americas","","WB_HI","High-income","","ATG","Antigua and Barbuda","","5.3","5.29602","","","","",""
"GHED_CHEGDP_SHA2011","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4950","PUBLISHED","Published","","2012","2012","","AMR","Americas","","WB_HI","High-income","","ATG","Antigua and Barbuda","","5.2","5.19106","","","","",""
"GHED_CHEGDP_SHA2011","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4950","PUBLISHED","Published","","2013","2013","","AMR","Americas","","WB_HI","High-income","","ATG","Antigua and Barbuda","","5.4","5.41709","","","","",""
"GHED_CHEGDP_SHA2011","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4950","PUBLISHED","Published","","2014","2014","","AMR","Americas","","WB_HI","High-income","","ATG","Antigua and Barbuda","","5.3","5.25246","","","","",""
"GHED_CHEGDP_SHA2011","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4950","PUBLISHED","Published","","2015","2015","","AMR","Americas","","WB_HI","High-income","","ATG","Antigua and Barbuda","","4.7","4.70175","","","","",""
"GHED_CHEGDP_SHA2011","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4950","PUBLISHED","Published","","2016","2016","","AMR","Americas","","WB_HI","High-income","","ATG","Antigua and Barbuda","","4.4","4.35730","","","","",""
"GHED_CHEGDP_SHA2011","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4950","PUBLISHED","Published","","2017","2017","","AMR","Americas","","WB_HI","High-income","","ATG","Antigua and Barbuda","","4.5","4.53353","","","","",""
"GHED_CHEGDP_SHA2011","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4950","PUBLISHED","Published","","2000","2000","","AMR","Americas","","WB_HI","High-income","","ARG","Argentina","","8.5","8.46696","","","","",""
