"GHO (CODE)","GHO (DISPLAY)","GHO (URL)","DATASOURCE (CODE)","DATASOURCE (DISPLAY)","DATASOURCE (URL)","PUBLISHSTATE (CODE)","PUBLISHSTATE (DISPLAY)","PUBLISHSTATE (URL)","YEAR (CODE)","YEAR (DISPLAY)","YEAR (URL)","REGION (CODE)","REGION (DISPLAY)","REGION (URL)","COUNTRY (CODE)","COUNTRY (DISPLAY)","COUNTRY (URL)","RESIDENCEAREATYPE (CODE)","RESIDENCEAREATYPE (DISPLAY)","RESIDENCEAREATYPE (URL)","Display Value","Numeric","Low","High","StdErr","StdDev","Comments"
"UHC_AVAILABILITY_SCORE","Data availability for UHC index of service coverage","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4833","","","","PUBLISHED","Published","","2013-2017","2013-2017","","EUR","Europe","","CZE","Czechia","","","","","43","0.42857","","","","",""
"UHC_INDEX_REPORTED","UHC index of service coverage (SCI)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4834","","","","PUBLISHED","Published","","2015","2015","","EUR","Europe","","DEU","Germany","","","","","82","0.81715","","","","",""
"UHC_INDEX_REPORTED","UHC index of service coverage (SCI)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4834","","","","PUBLISHED","Published","","2015","2015","","EMR","Eastern Mediterranean","","DJI","Djibouti","","","","","44","0.43802","","","","",""
"UHC_INDEX_REPORTED","UHC index of service coverage (SCI)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4834","","","","PUBLISHED","Published","","2017","2017","","EUR","Europe","","DNK","Denmark","","","","","81","0.80772","","","","",""
"UHC_AVAILABILITY_SCORE","Data availability for UHC index of service coverage","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4833","","","","PUBLISHED","Published","","2013-2017","2013-2017","","AFR","Africa","","DZA","Algeria","","","","","36","0.35714","","","","",""
"UHC_AVAILABILITY_SCORE","Data availability for UHC index of service coverage","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4833","","","","PUBLISHED","Published","","2013-2017","2013-2017","","AMR","Americas","","ECU","Ecuador","","","","","46","0.45714","","","","",""
"UHC_INDEX_REPORTED","UHC index of service coverage (SCI)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4834","","","","PUBLISHED","Published","","2015","2015","","AFR","Africa","","ERI","Eritrea","","","","","38","0.38137","","","","",""
"UHC_INDEX_REPORTED","UHC index of service coverage (SCI)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4834","","","","PUBLISHED","Published","","2017","2017","","EUR","Europe","","ESP","Spain","","","","","83","0.82739","","","","",""
"UHC_INDEX_REPORTED","UHC index of service coverage (SCI)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4834","","","","PUBLISHED","Published","","2017","2017","","EUR","Europe","","EST","Estonia","","","","","75","0.75303","","","","",""
"UHC_AVAILABILITY_SCORE","Data availability for UHC index of service coverage","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4833","","","","PUBLISHED","Published","","2013-2017","2013-2017","","EUR","Europe","","FIN","Finland","","","","","51","0.51429","","","","",""
"UHC_INDEX_REPORTED","UHC index of service coverage (SCI)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4834","","","","PUBLISHED","Published","","2015","2015","","EUR","Europe","","FRA","France","","","","","78","0.77513","","","","",""
"UHC_INDEX_REPORTED","UHC index of service coverage (SCI)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4834","","","","PUBLISHED","Published","","2015","2015","","WPR","Western Pacific","","FSM","Micronesia (Federated States of)","","","","","44","0.43617","","","","",""
"UHC_INDEX_REPORTED","UHC index of service coverage (SCI)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4834","","","","PUBLISHED","Published","","2017","2017","","WPR","Western Pacific","","FSM","Micronesia (Federated States of)","","","","","47","0.46556","","","","",""
"UHC_INDEX_REPORTED","UHC index of service coverage (SCI)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4834","","","","PUBLISHED","Published","","2017","2017","","AFR","Africa","","GAB","Gabon","","","","","49","0.49357","","","","",""
"UHC_AVAILABILITY_SCORE","Data availability for UHC index of service coverage","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4833","","","","PUBLISHED","Published","","2013-2017","2013-2017","","EUR","Europe","","GEO","Georgia","","","","","50","0.50000","","","","",""
"UHC_AVAILABILITY_SCORE","Data availability for UHC index of service coverage","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4833","","","","PUBLISHED","Published","","2013-2017","2013-2017","","AFR","Africa","","GHA","Ghana","","","","","56","0.55714","","","","",""
"UHC_INDEX_REPORTED","UHC index of service coverage (SCI)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4834","","","","PUBLISHED","Published","","2015","2015","","AFR","Africa","","GIN","Guinea","","","","","34","0.33943","","","","",""
"UHC_INDEX_REPORTED","UHC index of service coverage (SCI)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4834","","","","PUBLISHED","Published","","2015","2015","","AFR","Africa","","GMB","Gambia","","","","","45","0.45254","","","","",""
"UHC_INDEX_REPORTED","UHC index of service coverage (SCI)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4834","","","","PUBLISHED","Published","","2017","2017","","AFR","Africa","","GNB","Guinea-Bissau","","","","","40","0.39926","","","","",""
"UHC_AVAILABILITY_SCORE","Data availability for UHC index of service coverage","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4833","","","","PUBLISHED","Published","","2013-2017","2013-2017","","EUR","Europe","","GRC","Greece","","","","","29","0.28571","","","","",""
"UHC_AVAILABILITY_SCORE","Data availability for UHC index of service coverage","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4833","","","","PUBLISHED","Published","","2013-2017","2013-2017","","AMR","Americas","","GRD","Grenada","","","","","21","0.21429","","","","",""
"UHC_INDEX_REPORTED","UHC index of service coverage (SCI)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4834","","","","PUBLISHED","Published","","2015","2015","","AMR","Americas","","GUY","Guyana","","","","","70","0.70446","","","","",""
"UHC_INDEX_REPORTED","UHC index of service coverage (SCI)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4834","","","","PUBLISHED","Published","","2017","2017","","AMR","Americas","","HND","Honduras","","","","","65","0.64933","","","","",""
"UHC_INDEX_REPORTED","UHC index of service coverage (SCI)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4834","","","","PUBLISHED","Published","","2017","2017","","EUR","Europe","","HRV","Croatia","","","","","71","0.70582","","","","",""
"UHC_AVAILABILITY_SCORE","Data availability for UHC index of service coverage","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4833","","","","PUBLISHED","Published","","2013-2017","2013-2017","","EUR","Europe","","HUN","Hungary","","","","","49","0.48571","","","","",""
"UHC_INDEX_REPORTED","UHC index of service coverage (SCI)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4834","","","","PUBLISHED","Published","","2015","2015","","SEAR","South-East Asia","","IND","India","","","","","52","0.52398","","","","",""
"UHC_INDEX_REPORTED","UHC index of service coverage (SCI)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4834","","","","PUBLISHED","Published","","2015","2015","","EUR","Europe","","IRL","Ireland","","","","","79","0.78736","","","","",""
"UHC_INDEX_REPORTED","UHC index of service coverage (SCI)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4834","","","","PUBLISHED","Published","","2017","2017","","EUR","Europe","","IRL","Ireland","","","","","76","0.76016","","","","",""
"UHC_INDEX_REPORTED","UHC index of service coverage (SCI)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4834","","","","PUBLISHED","Published","","2017","2017","","EMR","Eastern Mediterranean","","IRN","Iran (Islamic Republic of)","","","","","72","0.71725","","","","",""
"UHC_AVAILABILITY_SCORE","Data availability for UHC index of service coverage","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4833","","","","PUBLISHED","Published","","2013-2017","2013-2017","","EUR","Europe","","ISL","Iceland","","","","","54","0.54286","","","","",""
"UHC_AVAILABILITY_SCORE","Data availability for UHC index of service coverage","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4833","","","","PUBLISHED","Published","","2013-2017","2013-2017","","EUR","Europe","","ISR","Israel","","","","","44","0.44286","","","","",""
"UHC_INDEX_REPORTED","UHC index of service coverage (SCI)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4834","","","","PUBLISHED","Published","","2015","2015","","EUR","Europe","","ITA","Italy","","","","","81","0.81335","","","","",""
"UHC_INDEX_REPORTED","UHC index of service coverage (SCI)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4834","","","","PUBLISHED","Published","","2015","2015","","AMR","Americas","","JAM","Jamaica","","","","","62","0.62419","","","","",""
"UHC_INDEX_REPORTED","UHC index of service coverage (SCI)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4834","","","","PUBLISHED","Published","","2017","2017","","EMR","Eastern Mediterranean","","JOR","Jordan","","","","","76","0.75733","","","","",""
"UHC_AVAILABILITY_SCORE","Data availability for UHC index of service coverage","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4833","","","","PUBLISHED","Published","","2013-2017","2013-2017","","EUR","Europe","","KAZ","Kazakhstan","","","","","40","0.40000","","","","",""
"UHC_AVAILABILITY_SCORE","Data availability for UHC index of service coverage","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4833","","","","PUBLISHED","Published","","2013-2017","2013-2017","","AFR","Africa","","KEN","Kenya","","","","","46","0.45714","","","","",""
"UHC_INDEX_REPORTED","UHC index of service coverage (SCI)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4834","","","","PUBLISHED","Published","","2015","2015","","WPR","Western Pacific","","KHM","Cambodia","","","","","55","0.55294","","","","",""
"UHC_INDEX_REPORTED","UHC index of service coverage (SCI)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4834","","","","PUBLISHED","Published","","2017","2017","","WPR","Western Pacific","","KIR","Kiribati","","","","","41","0.41157","","","","",""
"UHC_AVAILABILITY_SCORE","Data availability for UHC index of service coverage","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4833","","","","PUBLISHED","Published","","2013-2017","2013-2017","","WPR","Western Pacific","","LAO","Lao People's Democratic Republic","","","","","41","0.41429","","","","",""
"UHC_INDEX_REPORTED","UHC index of service coverage (SCI)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4834","","","","PUBLISHED","Published","","2015","2015","","AFR","Africa","","LBR","Liberia","","","","","37","0.37183","","","","",""
"UHC_INDEX_REPORTED","UHC index of service coverage (SCI)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4834","","","","PUBLISHED","Published","","2015","2015","","EMR","Eastern Mediterranean","","LBY","Libya","","","","","62","0.62279","","","","",""
"UHC_INDEX_REPORTED","UHC index of service coverage (SCI)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4834","","","","PUBLISHED","Published","","2017","2017","","EMR","Eastern Mediterranean","","LBY","Libya","","","","","64","0.64483","","","","",""
"UHC_INDEX_REPORTED","UHC index of service coverage (SCI)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4834","","","","PUBLISHED","Published","","2017","2017","","AMR","Americas","","LCA","Saint Lucia","","","","","68","0.67879","","","","",""
"UHC_AVAILABILITY_SCORE","Data availability for UHC index of service coverage","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4833","","","","PUBLISHED","Published","","2013-2017","2013-2017","","AFR","Africa","","LSO","Lesotho","","","","","34","0.34286","","","","",""
"UHC_AVAILABILITY_SCORE","Data availability for UHC index of service coverage","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4833","","","","PUBLISHED","Published","","2013-2017","2013-2017","","EUR","Europe","","LTU","Lithuania","","","","","41","0.41429","","","","",""
"UHC_INDEX_REPORTED","UHC index of service coverage (SCI)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4834","","","","PUBLISHED","Published","","2015","2015","","EUR","Europe","","LUX","Luxembourg","","","","","82","0.82426","","","","",""
"UHC_INDEX_REPORTED","UHC index of service coverage (SCI)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4834","","","","PUBLISHED","Published","","2015","2015","","EUR","Europe","","LVA","Latvia","","","","","67","0.66688","","","","",""
"UHC_INDEX_REPORTED","UHC index of service coverage (SCI)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4834","","","","PUBLISHED","Published","","2017","2017","","EMR","Eastern Mediterranean","","MAR","Morocco","","","","","70","0.70316","","","","",""
"UHC_AVAILABILITY_SCORE","Data availability for UHC index of service coverage","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4833","","","","PUBLISHED","Published","","2013-2017","2013-2017","","AFR","Africa","","MDG","Madagascar","","","","","34","0.34286","","","","",""
"UHC_AVAILABILITY_SCORE","Data availability for UHC index of service coverage","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4833","","","","PUBLISHED","Published","","2013-2017","2013-2017","","SEAR","South-East Asia","","MDV","Maldives","","","","","29","0.28571","","","","",""
"UHC_INDEX_REPORTED","UHC index of service coverage (SCI)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4834","","","","PUBLISHED","Published","","2015","2015","","EUR","Europe","","MKD","Republic of North Macedonia","","","","","70","0.70400","","","","",""
"UHC_INDEX_REPORTED","UHC index of service coverage (SCI)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4834","","","","PUBLISHED","Published","","2017","2017","","AFR","Africa","","MLI","Mali","","","","","38","0.37527","","","","",""
"UHC_AVAILABILITY_SCORE","Data availability for UHC index of service coverage","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4833","","","","PUBLISHED","Published","","2013-2017","2013-2017","","EUR","Europe","","MNE","Montenegro","","","","","39","0.38571","","","","",""
"UHC_INDEX_REPORTED","UHC index of service coverage (SCI)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4834","","","","PUBLISHED","Published","","2015","2015","","AFR","Africa","","MOZ","Mozambique","","","","","43","0.42948","","","","",""
"UHC_INDEX_REPORTED","UHC index of service coverage (SCI)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4834","","","","PUBLISHED","Published","","2015","2015","","AFR","Africa","","MRT","Mauritania","","","","","36","0.35931","","","","",""
"UHC_INDEX_REPORTED","UHC index of service coverage (SCI)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4834","","","","PUBLISHED","Published","","2017","2017","","AFR","Africa","","MRT","Mauritania","","","","","41","0.41060","","","","",""
"UHC_INDEX_REPORTED","UHC index of service coverage (SCI)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4834","","","","PUBLISHED","Published","","2017","2017","","AFR","Africa","","MUS","Mauritius","","","","","63","0.62667","","","","",""
"UHC_AVAILABILITY_SCORE","Data availability for UHC index of service coverage","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4833","","","","PUBLISHED","Published","","2013-2017","2013-2017","","WPR","Western Pacific","","MYS","Malaysia","","","","","43","0.42857","","","","",""
"UHC_AVAILABILITY_SCORE","Data availability for UHC index of service coverage","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4833","","","","PUBLISHED","Published","","2013-2017","2013-2017","","AFR","Africa","","NAM","Namibia","","","","","36","0.35714","","","","",""
"UHC_INDEX_REPORTED","UHC index of service coverage (SCI)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4834","","","","PUBLISHED","Published","","2015","2015","","AFR","Africa","","NER","Niger","","","","","35","0.34765","","","","",""
"UHC_INDEX_REPORTED","UHC index of service coverage (SCI)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4834","","","","PUBLISHED","Published","","2015","2015","","AFR","Africa","","NGA","Nigeria","","","","","42","0.42040","","","","",""
"UHC_INDEX_REPORTED","UHC index of service coverage (SCI)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4834","","","","PUBLISHED","Published","","2017","2017","","AMR","Americas","","NIC","Nicaragua","","","","","73","0.73252","","","","",""
"UHC_AVAILABILITY_SCORE","Data availability for UHC index of service coverage","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4833","","","","PUBLISHED","Published","","2013-2017","2013-2017","","EUR","Europe","","NOR","Norway","","","","","53","0.52857","","","","",""
"UHC_AVAILABILITY_SCORE","Data availability for UHC index of service coverage","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4833","","","","PUBLISHED","Published","","2013-2017","2013-2017","","SEAR","South-East Asia","","NPL","Nepal","","","","","49","0.48571","","","","",""
"UHC_INDEX_REPORTED","UHC index of service coverage (SCI)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4834","","","","PUBLISHED","Published","","2015","2015","","EMR","Eastern Mediterranean","","OMN","Oman","","","","","71","0.71404","","","","",""
"UHC_INDEX_REPORTED","UHC index of service coverage (SCI)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4834","","","","PUBLISHED","Published","","2017","2017","","EMR","Eastern Mediterranean","","PAK","Pakistan","","","","","45","0.44831","","","","",""
"UHC_AVAILABILITY_SCORE","Data availability for UHC index of service coverage","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4833","","","","PUBLISHED","Published","","2013-2017","2013-2017","","WPR","Western Pacific","","PHL","Philippines","","","","","49","0.48571","","","","",""
"UHC_INDEX_REPORTED","UHC index of service coverage (SCI)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4834","","","","PUBLISHED","Published","","2015","2015","","EUR","Europe","","POL","Poland","","","","","74","0.74195","","","","",""
"UHC_INDEX_REPORTED","UHC index of service coverage (SCI)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4834","","","","PUBLISHED","Published","","2017","2017","","SEAR","South-East Asia","","PRK","Democratic People's Republic of Korea","","","","","71","0.70590","","","","",""
"UHC_INDEX_REPORTED","UHC index of service coverage (SCI)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4834","","","","PUBLISHED","Published","","2017","2017","","EUR","Europe","","PRT","Portugal","","","","","82","0.81534","","","","",""
"UHC_AVAILABILITY_SCORE","Data availability for UHC index of service coverage","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4833","","","","PUBLISHED","Published","","2013-2017","2013-2017","","EMR","Eastern Mediterranean","","QAT","Qatar","","","","","29","0.28571","","","","",""
"UHC_AVAILABILITY_SCORE","Data availability for UHC index of service coverage","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4833","","","","PUBLISHED","Published","","2013-2017","2013-2017","","EUR","Europe","","ROU","Romania","","","","","49","0.48571","","","","",""
"UHC_INDEX_REPORTED","UHC index of service coverage (SCI)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4834","","","","PUBLISHED","Published","","2015","2015","","EUR","Europe","","RUS","Russian Federation","","","","","71","0.70515","","","","",""
